home,away,home_goals,away_goals,date,league
man united,fulham,1,0,2024-08-16,Premier League
ipswich,liverpool,0,2,2024-08-17,Premier League
arsenal,wolves,2,0,2024-08-17,Premier League
everton,brighton,0,3,2024-08-17,Premier League
newcastle,southampton,1,0,2024-08-17,Premier League
nott'm forest,bournemouth,1,1,2024-08-17,Premier League
west ham,aston villa,1,2,2024-08-17,Premier League
brentford,crystal palace,2,1,2024-08-18,Premier League
chelsea,man city,0,2,2024-08-18,Premier League
leicester,tottenham,1,1,2024-08-19,Premier League
brighton,man united,2,1,2024-08-24,Premier League
crystal palace,west ham,0,2,2024-08-24,Premier League
fulham,leicester,2,1,2024-08-24,Premier League
man city,ipswich,4,1,2024-08-24,Premier League
southampton,nott'm forest,0,1,2024-08-24,Premier League
tottenham,everton,4,0,2024-08-24,Premier League
aston villa,arsenal,0,2,2024-08-24,Premier League
bournemouth,newcastle,1,1,2024-08-25,Premier League
wolves,chelsea,2,6,2024-08-25,Premier League
liverpool,brentford,2,0,2024-08-25,Premier League
arsenal,brighton,1,1,2024-08-31,Premier League
brentford,southampton,3,1,2024-08-31,Premier League
everton,bournemouth,2,3,2024-08-31,Premier League
ipswich,fulham,1,1,2024-08-31,Premier League
leicester,aston villa,1,2,2024-08-31,Premier League
nott'm forest,wolves,1,1,2024-08-31,Premier League
west ham,man city,1,3,2024-08-31,Premier League
chelsea,crystal palace,1,1,2024-09-01,Premier League
newcastle,tottenham,2,1,2024-09-01,Premier League
man united,liverpool,0,3,2024-09-01,Premier League
southampton,man united,0,3,2024-09-14,Premier League
brighton,ipswich,0,0,2024-09-14,Premier League
crystal palace,leicester,2,2,2024-09-14,Premier League
fulham,west ham,1,1,2024-09-14,Premier League
liverpool,nott'm forest,0,1,2024-09-14,Premier League
man city,brentford,2,1,2024-09-14,Premier League
aston villa,everton,3,2,2024-09-14,Premier League
bournemouth,chelsea,0,1,2024-09-14,Premier League
tottenham,arsenal,0,1,2024-09-15,Premier League
wolves,newcastle,1,2,2024-09-15,Premier League
west ham,chelsea,0,3,2024-09-21,Premier League
aston villa,wolves,3,1,2024-09-21,Premier League
fulham,newcastle,3,1,2024-09-21,Premier League
leicester,everton,1,1,2024-09-21,Premier League
liverpool,bournemouth,3,0,2024-09-21,Premier League
southampton,ipswich,1,1,2024-09-21,Premier League
tottenham,brentford,3,1,2024-09-21,Premier League
crystal palace,man united,0,0,2024-09-21,Premier League
brighton,nott'm forest,2,2,2024-09-22,Premier League
man city,arsenal,2,2,2024-09-22,Premier League
newcastle,man city,1,1,2024-09-28,Premier League
arsenal,leicester,4,2,2024-09-28,Premier League
brentford,west ham,1,1,2024-09-28,Premier League
chelsea,brighton,4,2,2024-09-28,Premier League
everton,crystal palace,2,1,2024-09-28,Premier League
nott'm forest,fulham,0,1,2024-09-28,Premier League
wolves,liverpool,1,2,2024-09-28,Premier League
ipswich,aston villa,2,2,2024-09-29,Premier League
man united,tottenham,0,3,2024-09-29,Premier League
bournemouth,southampton,3,1,2024-09-30,Premier League
crystal palace,liverpool,0,1,2024-10-05,Premier League
arsenal,southampton,3,1,2024-10-05,Premier League
brentford,wolves,5,3,2024-10-05,Premier League
leicester,bournemouth,1,0,2024-10-05,Premier League
man city,fulham,3,2,2024-10-05,Premier League
west ham,ipswich,4,1,2024-10-05,Premier League
everton,newcastle,0,0,2024-10-05,Premier League
aston villa,man united,0,0,2024-10-06,Premier League
chelsea,nott'm forest,1,1,2024-10-06,Premier League
brighton,tottenham,3,2,2024-10-06,Premier League
tottenham,west ham,4,1,2024-10-19,Premier League
fulham,aston villa,1,3,2024-10-19,Premier League
ipswich,everton,0,2,2024-10-19,Premier League
man united,brentford,2,1,2024-10-19,Premier League
newcastle,brighton,0,1,2024-10-19,Premier League
southampton,leicester,2,3,2024-10-19,Premier League
bournemouth,arsenal,2,0,2024-10-19,Premier League
wolves,man city,1,2,2024-10-20,Premier League
liverpool,chelsea,2,1,2024-10-20,Premier League
nott'm forest,crystal palace,1,0,2024-10-21,Premier League
leicester,nott'm forest,1,3,2024-10-25,Premier League
aston villa,bournemouth,1,1,2024-10-26,Premier League
brentford,ipswich,4,3,2024-10-26,Premier League
brighton,wolves,2,2,2024-10-26,Premier League
man city,southampton,1,0,2024-10-26,Premier League
everton,fulham,1,1,2024-10-26,Premier League
chelsea,newcastle,2,1,2024-10-27,Premier League
crystal palace,tottenham,1,0,2024-10-27,Premier League
west ham,man united,2,1,2024-10-27,Premier League
arsenal,liverpool,2,2,2024-10-27,Premier League
newcastle,arsenal,1,0,2024-11-02,Premier League
bournemouth,man city,2,1,2024-11-02,Premier League
ipswich,leicester,1,1,2024-11-02,Premier League
liverpool,brighton,2,1,2024-11-02,Premier League
nott'm forest,west ham,3,0,2024-11-02,Premier League
southampton,everton,1,0,2024-11-02,Premier League
wolves,crystal palace,2,2,2024-11-02,Premier League
tottenham,aston villa,4,1,2024-11-03,Premier League
man united,chelsea,1,1,2024-11-03,Premier League
fulham,brentford,2,1,2024-11-04,Premier League
brentford,bournemouth,3,2,2024-11-09,Premier League
crystal palace,fulham,0,2,2024-11-09,Premier League
west ham,everton,0,0,2024-11-09,Premier League
wolves,southampton,2,0,2024-11-09,Premier League
brighton,man city,2,1,2024-11-09,Premier League
liverpool,aston villa,2,0,2024-11-09,Premier League
man united,leicester,3,0,2024-11-10,Premier League
nott'm forest,newcastle,1,3,2024-11-10,Premier League
tottenham,ipswich,1,2,2024-11-10,Premier League
chelsea,arsenal,1,1,2024-11-10,Premier League
leicester,chelsea,1,2,2024-11-23,Premier League
arsenal,nott'm forest,3,0,2024-11-23,Premier League
aston villa,crystal palace,2,2,2024-11-23,Premier League
bournemouth,brighton,1,2,2024-11-23,Premier League
everton,brentford,0,0,2024-11-23,Premier League
fulham,wolves,1,4,2024-11-23,Premier League
man city,tottenham,0,4,2024-11-23,Premier League
southampton,liverpool,2,3,2024-11-24,Premier League
ipswich,man united,1,1,2024-11-24,Premier League
newcastle,west ham,0,2,2024-11-25,Premier League
brighton,southampton,1,1,2024-11-29,Premier League
brentford,leicester,4,1,2024-11-30,Premier League
crystal palace,newcastle,1,1,2024-11-30,Premier League
nott'm forest,ipswich,1,0,2024-11-30,Premier League
wolves,bournemouth,2,4,2024-11-30,Premier League
west ham,arsenal,2,5,2024-11-30,Premier League
chelsea,aston villa,3,0,2024-12-01,Premier League
man united,everton,4,0,2024-12-01,Premier League
tottenham,fulham,1,1,2024-12-01,Premier League
liverpool,man city,2,0,2024-12-01,Premier League
ipswich,crystal palace,0,1,2024-12-03,Premier League
leicester,west ham,3,1,2024-12-03,Premier League
everton,wolves,4,0,2024-12-04,Premier League
man city,nott'm forest,3,0,2024-12-04,Premier League
newcastle,liverpool,3,3,2024-12-04,Premier League
southampton,chelsea,1,5,2024-12-04,Premier League
arsenal,man united,2,0,2024-12-04,Premier League
aston villa,brentford,3,1,2024-12-04,Premier League
fulham,brighton,3,1,2024-12-05,Premier League
bournemouth,tottenham,1,0,2024-12-05,Premier League
aston villa,southampton,1,0,2024-12-07,Premier League
brentford,newcastle,4,2,2024-12-07,Premier League
crystal palace,man city,2,2,2024-12-07,Premier League
man united,nott'm forest,2,3,2024-12-07,Premier League
fulham,arsenal,1,1,2024-12-08,Premier League
ipswich,bournemouth,1,2,2024-12-08,Premier League
leicester,brighton,2,2,2024-12-08,Premier League
tottenham,chelsea,3,4,2024-12-08,Premier League
west ham,wolves,2,1,2024-12-09,Premier League
arsenal,everton,0,0,2024-12-14,Premier League
liverpool,fulham,2,2,2024-12-14,Premier League
newcastle,leicester,4,0,2024-12-14,Premier League
wolves,ipswich,1,2,2024-12-14,Premier League
nott'm forest,aston villa,2,1,2024-12-14,Premier League
brighton,crystal palace,1,3,2024-12-15,Premier League
man city,man united,1,2,2024-12-15,Premier League
chelsea,brentford,2,1,2024-12-15,Premier League
southampton,tottenham,0,5,2024-12-15,Premier League
bournemouth,west ham,1,1,2024-12-16,Premier League
aston villa,man city,2,1,2024-12-21,Premier League
brentford,nott'm forest,0,2,2024-12-21,Premier League
ipswich,newcastle,0,4,2024-12-21,Premier League
west ham,brighton,1,1,2024-12-21,Premier League
crystal palace,arsenal,1,5,2024-12-21,Premier League
everton,chelsea,0,0,2024-12-22,Premier League
fulham,southampton,0,0,2024-12-22,Premier League
leicester,wolves,0,3,2024-12-22,Premier League
man united,bournemouth,0,3,2024-12-22,Premier League
tottenham,liverpool,3,6,2024-12-22,Premier League
man city,everton,1,1,2024-12-26,Premier League
bournemouth,crystal palace,0,0,2024-12-26,Premier League
chelsea,fulham,1,2,2024-12-26,Premier League
newcastle,aston villa,3,0,2024-12-26,Premier League
nott'm forest,tottenham,1,0,2024-12-26,Premier League
southampton,west ham,0,1,2024-12-26,Premier League
wolves,man united,2,0,2024-12-26,Premier League
liverpool,leicester,3,1,2024-12-26,Premier League
brighton,brentford,0,0,2024-12-27,Premier League
arsenal,ipswich,1,0,2024-12-27,Premier League
leicester,man city,0,2,2024-12-29,Premier League
crystal palace,southampton,2,1,2024-12-29,Premier League
everton,nott'm forest,0,2,2024-12-29,Premier League
fulham,bournemouth,2,2,2024-12-29,Premier League
tottenham,wolves,2,2,2024-12-29,Premier League
west ham,liverpool,0,5,2024-12-29,Premier League
aston villa,brighton,2,2,2024-12-30,Premier League
ipswich,chelsea,2,0,2024-12-30,Premier League
man united,newcastle,0,2,2024-12-30,Premier League
brentford,arsenal,1,3,2025-01-01,Premier League
tottenham,newcastle,1,2,2025-01-04,Premier League
aston villa,leicester,2,1,2025-01-04,Premier League
bournemouth,everton,1,0,2025-01-04,Premier League
crystal palace,chelsea,1,1,2025-01-04,Premier League
man city,west ham,4,1,2025-01-04,Premier League
southampton,brentford,0,5,2025-01-04,Premier League
brighton,arsenal,1,1,2025-01-04,Premier League
fulham,ipswich,2,2,2025-01-05,Premier League
liverpool,man united,2,2,2025-01-05,Premier League
wolves,nott'm forest,0,3,2025-01-06,Premier League
brentford,man city,2,2,2025-01-14,Premier League
chelsea,bournemouth,2,2,2025-01-14,Premier League
west ham,fulham,3,2,2025-01-14,Premier League
nott'm forest,liverpool,1,1,2025-01-14,Premier League
everton,aston villa,0,1,2025-01-15,Premier League
leicester,crystal palace,0,2,2025-01-15,Premier League
newcastle,wolves,3,0,2025-01-15,Premier League
arsenal,tottenham,2,1,2025-01-15,Premier League
ipswich,brighton,0,2,2025-01-16,Premier League
man united,southampton,3,1,2025-01-16,Premier League
newcastle,bournemouth,1,4,2025-01-18,Premier League
brentford,liverpool,0,2,2025-01-18,Premier League
leicester,fulham,0,2,2025-01-18,Premier League
west ham,crystal palace,0,2,2025-01-18,Premier League
arsenal,aston villa,2,2,2025-01-18,Premier League
everton,tottenham,3,2,2025-01-19,Premier League
man united,brighton,1,3,2025-01-19,Premier League
nott'm forest,southampton,3,2,2025-01-19,Premier League
ipswich,man city,0,6,2025-01-19,Premier League
chelsea,wolves,3,1,2025-01-20,Premier League
bournemouth,nott'm forest,5,0,2025-01-25,Premier League
brighton,everton,0,1,2025-01-25,Premier League
liverpool,ipswich,4,1,2025-01-25,Premier League
southampton,newcastle,1,3,2025-01-25,Premier League
wolves,arsenal,0,1,2025-01-25,Premier League
man city,chelsea,3,1,2025-01-25,Premier League
crystal palace,brentford,1,2,2025-01-26,Premier League
tottenham,leicester,1,2,2025-01-26,Premier League
aston villa,west ham,1,1,2025-01-26,Premier League
fulham,man united,0,1,2025-01-26,Premier League
nott'm forest,brighton,7,0,2025-02-01,Premier League
bournemouth,liverpool,0,2,2025-02-01,Premier League
everton,leicester,4,0,2025-02-01,Premier League
ipswich,southampton,1,2,2025-02-01,Premier League
newcastle,fulham,1,2,2025-02-01,Premier League
wolves,aston villa,2,0,2025-02-01,Premier League
brentford,tottenham,0,2,2025-02-02,Premier League
man united,crystal palace,0,2,2025-02-02,Premier League
arsenal,man city,5,1,2025-02-02,Premier League
chelsea,west ham,2,1,2025-02-03,Premier League
everton,liverpool,2,2,2025-02-12,Premier League
brighton,chelsea,3,0,2025-02-14,Premier League
leicester,arsenal,0,2,2025-02-15,Premier League
aston villa,ipswich,1,1,2025-02-15,Premier League
fulham,nott'm forest,2,1,2025-02-15,Premier League
man city,newcastle,4,0,2025-02-15,Premier League
southampton,bournemouth,1,3,2025-02-15,Premier League
west ham,brentford,0,1,2025-02-15,Premier League
crystal palace,everton,1,2,2025-02-15,Premier League
liverpool,wolves,2,1,2025-02-16,Premier League
tottenham,man united,1,0,2025-02-16,Premier League
aston villa,liverpool,2,2,2025-02-19,Premier League
leicester,brentford,0,4,2025-02-21,Premier League
everton,man united,2,2,2025-02-22,Premier League
arsenal,west ham,0,1,2025-02-22,Premier League
bournemouth,wolves,0,1,2025-02-22,Premier League
fulham,crystal palace,0,2,2025-02-22,Premier League
ipswich,tottenham,1,4,2025-02-22,Premier League
southampton,brighton,0,4,2025-02-22,Premier League
aston villa,chelsea,2,1,2025-02-22,Premier League
newcastle,nott'm forest,4,3,2025-02-23,Premier League
man city,liverpool,0,2,2025-02-23,Premier League
brighton,bournemouth,2,1,2025-02-25,Premier League
crystal palace,aston villa,4,1,2025-02-25,Premier League
wolves,fulham,1,2,2025-02-25,Premier League
chelsea,southampton,4,0,2025-02-25,Premier League
brentford,everton,1,1,2025-02-26,Premier League
man united,ipswich,3,2,2025-02-26,Premier League
nott'm forest,arsenal,0,0,2025-02-26,Premier League
tottenham,man city,0,1,2025-02-26,Premier League
liverpool,newcastle,2,0,2025-02-26,Premier League
west ham,leicester,2,0,2025-02-27,Premier League
nott'm forest,man city,1,0,2025-03-08,Premier League
brighton,fulham,2,1,2025-03-08,Premier League
crystal palace,ipswich,1,0,2025-03-08,Premier League
liverpool,southampton,3,1,2025-03-08,Premier League
brentford,aston villa,0,1,2025-03-08,Premier League
wolves,everton,1,1,2025-03-08,Premier League
chelsea,leicester,1,0,2025-03-09,Premier League
tottenham,bournemouth,2,2,2025-03-09,Premier League
man united,arsenal,1,1,2025-03-09,Premier League
west ham,newcastle,0,1,2025-03-10,Premier League
everton,west ham,1,1,2025-03-15,Premier League
ipswich,nott'm forest,2,4,2025-03-15,Premier League
man city,brighton,2,2,2025-03-15,Premier League
southampton,wolves,1,2,2025-03-15,Premier League
bournemouth,brentford,1,2,2025-03-15,Premier League
arsenal,chelsea,1,0,2025-03-16,Premier League
fulham,tottenham,2,0,2025-03-16,Premier League
leicester,man united,0,3,2025-03-16,Premier League
arsenal,fulham,2,1,2025-04-01,Premier League
wolves,west ham,1,0,2025-04-01,Premier League
nott'm forest,man united,1,0,2025-04-01,Premier League
bournemouth,ipswich,1,2,2025-04-02,Premier League
brighton,aston villa,0,3,2025-04-02,Premier League
man city,leicester,2,0,2025-04-02,Premier League
newcastle,brentford,2,1,2025-04-02,Premier League
southampton,crystal palace,1,1,2025-04-02,Premier League
liverpool,everton,1,0,2025-04-02,Premier League
chelsea,tottenham,1,0,2025-04-03,Premier League
everton,arsenal,1,1,2025-04-05,Premier League
crystal palace,brighton,2,1,2025-04-05,Premier League
ipswich,wolves,1,2,2025-04-05,Premier League
west ham,bournemouth,2,2,2025-04-05,Premier League
aston villa,nott'm forest,2,1,2025-04-05,Premier League
brentford,chelsea,0,0,2025-04-06,Premier League
fulham,liverpool,3,2,2025-04-06,Premier League
tottenham,southampton,3,1,2025-04-06,Premier League
man united,man city,0,0,2025-04-06,Premier League
leicester,newcastle,0,3,2025-04-07,Premier League
man city,crystal palace,5,2,2025-04-12,Premier League
brighton,leicester,2,2,2025-04-12,Premier League
nott'm forest,everton,0,1,2025-04-12,Premier League
southampton,aston villa,0,3,2025-04-12,Premier League
arsenal,brentford,1,1,2025-04-12,Premier League
chelsea,ipswich,2,2,2025-04-13,Premier League
liverpool,west ham,2,1,2025-04-13,Premier League
wolves,tottenham,4,2,2025-04-13,Premier League
newcastle,man united,4,1,2025-04-13,Premier League
bournemouth,fulham,1,0,2025-04-14,Premier League
newcastle,crystal palace,5,0,2025-04-16,Premier League
brentford,brighton,4,2,2025-04-19,Premier League
crystal palace,bournemouth,0,0,2025-04-19,Premier League
everton,man city,0,2,2025-04-19,Premier League
west ham,southampton,1,1,2025-04-19,Premier League
aston villa,newcastle,4,1,2025-04-19,Premier League
fulham,chelsea,1,2,2025-04-20,Premier League
ipswich,arsenal,0,4,2025-04-20,Premier League
man united,wolves,0,1,2025-04-20,Premier League
leicester,liverpool,0,1,2025-04-20,Premier League
tottenham,nott'm forest,1,2,2025-04-21,Premier League
man city,aston villa,2,1,2025-04-22,Premier League
arsenal,crystal palace,2,2,2025-04-23,Premier League
chelsea,everton,1,0,2025-04-26,Premier League
brighton,west ham,3,2,2025-04-26,Premier League
newcastle,ipswich,3,0,2025-04-26,Premier League
southampton,fulham,1,2,2025-04-26,Premier League
wolves,leicester,3,0,2025-04-26,Premier League
bournemouth,man united,1,1,2025-04-27,Premier League
liverpool,tottenham,5,1,2025-04-27,Premier League
nott'm forest,brentford,0,2,2025-05-01,Premier League
man city,wolves,1,0,2025-05-02,Premier League
aston villa,fulham,1,0,2025-05-03,Premier League
everton,ipswich,2,2,2025-05-03,Premier League
leicester,southampton,2,0,2025-05-03,Premier League
arsenal,bournemouth,1,2,2025-05-03,Premier League
brentford,man united,4,3,2025-05-04,Premier League
brighton,newcastle,1,1,2025-05-04,Premier League
west ham,tottenham,1,1,2025-05-04,Premier League
chelsea,liverpool,3,1,2025-05-04,Premier League
crystal palace,nott'm forest,1,1,2025-05-05,Premier League
fulham,everton,1,3,2025-05-10,Premier League
ipswich,brentford,0,1,2025-05-10,Premier League
southampton,man city,0,0,2025-05-10,Premier League
wolves,brighton,0,2,2025-05-10,Premier League
bournemouth,aston villa,0,1,2025-05-10,Premier League
newcastle,chelsea,2,0,2025-05-11,Premier League
man united,west ham,0,2,2025-05-11,Premier League
nott'm forest,leicester,2,2,2025-05-11,Premier League
tottenham,crystal palace,0,2,2025-05-11,Premier League
liverpool,arsenal,2,2,2025-05-11,Premier League
aston villa,tottenham,2,0,2025-05-16,Premier League
chelsea,man united,1,0,2025-05-16,Premier League
everton,southampton,2,0,2025-05-18,Premier League
west ham,nott'm forest,1,2,2025-05-18,Premier League
brentford,fulham,2,3,2025-05-18,Premier League
leicester,ipswich,2,0,2025-05-18,Premier League
arsenal,newcastle,1,0,2025-05-18,Premier League
brighton,liverpool,3,2,2025-05-19,Premier League
crystal palace,wolves,4,2,2025-05-20,Premier League
man city,bournemouth,3,1,2025-05-20,Premier League
bournemouth,leicester,2,0,2025-05-25,Premier League
fulham,man city,0,2,2025-05-25,Premier League
ipswich,west ham,1,3,2025-05-25,Premier League
liverpool,crystal palace,1,1,2025-05-25,Premier League
man united,aston villa,2,0,2025-05-25,Premier League
newcastle,everton,0,1,2025-05-25,Premier League
nott'm forest,chelsea,0,1,2025-05-25,Premier League
southampton,arsenal,1,2,2025-05-25,Premier League
tottenham,brighton,1,4,2025-05-25,Premier League
wolves,brentford,1,1,2025-05-25,Premier League
burnley,man city,0,3,2023-08-11,Premier League
arsenal,nott'm forest,2,1,2023-08-12,Premier League
bournemouth,west ham,1,1,2023-08-12,Premier League
brighton,luton,4,1,2023-08-12,Premier League
everton,fulham,0,1,2023-08-12,Premier League
sheffield united,crystal palace,0,1,2023-08-12,Premier League
newcastle,aston villa,5,1,2023-08-12,Premier League
brentford,tottenham,2,2,2023-08-13,Premier League
chelsea,liverpool,1,1,2023-08-13,Premier League
man united,wolves,1,0,2023-08-14,Premier League
nott'm forest,sheffield united,2,1,2023-08-18,Premier League
fulham,brentford,0,3,2023-08-19,Premier League
liverpool,bournemouth,3,1,2023-08-19,Premier League
wolves,brighton,1,4,2023-08-19,Premier League
tottenham,man united,2,0,2023-08-19,Premier League
man city,newcastle,1,0,2023-08-19,Premier League
aston villa,everton,4,0,2023-08-20,Premier League
west ham,chelsea,3,1,2023-08-20,Premier League
crystal palace,arsenal,0,1,2023-08-21,Premier League
chelsea,luton,3,0,2023-08-25,Premier League
bournemouth,tottenham,0,2,2023-08-26,Premier League
arsenal,fulham,2,2,2023-08-26,Premier League
brentford,crystal palace,1,1,2023-08-26,Premier League
everton,wolves,0,1,2023-08-26,Premier League
man united,nott'm forest,3,2,2023-08-26,Premier League
brighton,west ham,1,3,2023-08-26,Premier League
burnley,aston villa,1,3,2023-08-27,Premier League
sheffield united,man city,1,2,2023-08-27,Premier League
newcastle,liverpool,1,2,2023-08-27,Premier League
luton,west ham,1,2,2023-09-01,Premier League
sheffield united,everton,2,2,2023-09-02,Premier League
brentford,bournemouth,2,2,2023-09-02,Premier League
burnley,tottenham,2,5,2023-09-02,Premier League
chelsea,nott'm forest,0,1,2023-09-02,Premier League
man city,fulham,5,1,2023-09-02,Premier League
brighton,newcastle,3,1,2023-09-02,Premier League
crystal palace,wolves,3,2,2023-09-03,Premier League
liverpool,aston villa,3,0,2023-09-03,Premier League
arsenal,man united,3,1,2023-09-03,Premier League
wolves,liverpool,1,3,2023-09-16,Premier League
aston villa,crystal palace,3,1,2023-09-16,Premier League
fulham,luton,1,0,2023-09-16,Premier League
man united,brighton,1,3,2023-09-16,Premier League
tottenham,sheffield united,2,1,2023-09-16,Premier League
west ham,man city,1,3,2023-09-16,Premier League
newcastle,brentford,1,0,2023-09-16,Premier League
bournemouth,chelsea,0,0,2023-09-17,Premier League
everton,arsenal,0,1,2023-09-17,Premier League
nott'm forest,burnley,1,1,2023-09-18,Premier League
crystal palace,fulham,0,0,2023-09-23,Premier League
luton,wolves,1,1,2023-09-23,Premier League
man city,nott'm forest,2,0,2023-09-23,Premier League
brentford,everton,1,3,2023-09-23,Premier League
burnley,man united,0,1,2023-09-23,Premier League
arsenal,tottenham,2,2,2023-09-24,Premier League
brighton,bournemouth,3,1,2023-09-24,Premier League
chelsea,aston villa,0,1,2023-09-24,Premier League
liverpool,west ham,3,1,2023-09-24,Premier League
sheffield united,newcastle,0,8,2023-09-24,Premier League
aston villa,brighton,6,1,2023-09-30,Premier League
bournemouth,arsenal,0,4,2023-09-30,Premier League
everton,luton,1,2,2023-09-30,Premier League
man united,crystal palace,0,1,2023-09-30,Premier League
newcastle,burnley,2,0,2023-09-30,Premier League
west ham,sheffield united,2,0,2023-09-30,Premier League
wolves,man city,2,1,2023-09-30,Premier League
tottenham,liverpool,2,1,2023-09-30,Premier League
nott'm forest,brentford,1,1,2023-10-01,Premier League
fulham,chelsea,0,2,2023-10-02,Premier League
luton,burnley,1,2,2023-10-03,Premier League
luton,tottenham,0,1,2023-10-07,Premier League
burnley,chelsea,1,4,2023-10-07,Premier League
everton,bournemouth,3,0,2023-10-07,Premier League
fulham,sheffield united,3,1,2023-10-07,Premier League
man united,brentford,2,1,2023-10-07,Premier League
crystal palace,nott'm forest,0,0,2023-10-07,Premier League
brighton,liverpool,2,2,2023-10-08,Premier League
west ham,newcastle,2,2,2023-10-08,Premier League
wolves,aston villa,1,1,2023-10-08,Premier League
arsenal,man city,1,0,2023-10-08,Premier League
liverpool,everton,2,0,2023-10-21,Premier League
bournemouth,wolves,1,2,2023-10-21,Premier League
brentford,burnley,3,0,2023-10-21,Premier League
man city,brighton,2,1,2023-10-21,Premier League
newcastle,crystal palace,4,0,2023-10-21,Premier League
nott'm forest,luton,2,2,2023-10-21,Premier League
chelsea,arsenal,2,2,2023-10-21,Premier League
sheffield united,man united,1,2,2023-10-21,Premier League
aston villa,west ham,4,1,2023-10-22,Premier League
tottenham,fulham,2,0,2023-10-23,Premier League
crystal palace,tottenham,1,2,2023-10-27,Premier League
chelsea,brentford,0,2,2023-10-28,Premier League
arsenal,sheffield united,5,0,2023-10-28,Premier League
bournemouth,burnley,2,1,2023-10-28,Premier League
wolves,newcastle,2,2,2023-10-28,Premier League
west ham,everton,0,1,2023-10-29,Premier League
aston villa,luton,3,1,2023-10-29,Premier League
brighton,fulham,1,1,2023-10-29,Premier League
liverpool,nott'm forest,3,0,2023-10-29,Premier League
man united,man city,0,3,2023-10-29,Premier League
fulham,man united,0,1,2023-11-04,Premier League
brentford,west ham,3,2,2023-11-04,Premier League
burnley,crystal palace,0,2,2023-11-04,Premier League
everton,brighton,1,1,2023-11-04,Premier League
man city,bournemouth,6,1,2023-11-04,Premier League
sheffield united,wolves,2,1,2023-11-04,Premier League
newcastle,arsenal,1,0,2023-11-04,Premier League
nott'm forest,aston villa,2,0,2023-11-05,Premier League
luton,liverpool,1,1,2023-11-05,Premier League
tottenham,chelsea,1,4,2023-11-06,Premier League
wolves,tottenham,2,1,2023-11-11,Premier League
arsenal,burnley,3,1,2023-11-11,Premier League
crystal palace,everton,2,3,2023-11-11,Premier League
man united,luton,1,0,2023-11-11,Premier League
bournemouth,newcastle,2,0,2023-11-11,Premier League
aston villa,fulham,3,1,2023-11-12,Premier League
brighton,sheffield united,1,1,2023-11-12,Premier League
liverpool,brentford,3,0,2023-11-12,Premier League
west ham,nott'm forest,3,2,2023-11-12,Premier League
chelsea,man city,4,4,2023-11-12,Premier League
man city,liverpool,1,1,2023-11-25,Premier League
burnley,west ham,1,2,2023-11-25,Premier League
luton,crystal palace,2,1,2023-11-25,Premier League
newcastle,chelsea,4,1,2023-11-25,Premier League
nott'm forest,brighton,2,3,2023-11-25,Premier League
sheffield united,bournemouth,1,3,2023-11-25,Premier League
brentford,arsenal,0,1,2023-11-25,Premier League
tottenham,aston villa,1,2,2023-11-26,Premier League
everton,man united,0,3,2023-11-26,Premier League
fulham,wolves,3,2,2023-11-27,Premier League
arsenal,wolves,2,1,2023-12-02,Premier League
brentford,luton,3,1,2023-12-02,Premier League
burnley,sheffield united,5,0,2023-12-02,Premier League
nott'm forest,everton,0,1,2023-12-02,Premier League
newcastle,man united,1,0,2023-12-02,Premier League
bournemouth,aston villa,2,2,2023-12-03,Premier League
chelsea,brighton,3,2,2023-12-03,Premier League
liverpool,fulham,4,3,2023-12-03,Premier League
west ham,crystal palace,1,1,2023-12-03,Premier League
man city,tottenham,3,3,2023-12-03,Premier League
wolves,burnley,1,0,2023-12-05,Premier League
luton,arsenal,3,4,2023-12-05,Premier League
brighton,brentford,2,1,2023-12-06,Premier League
crystal palace,bournemouth,0,2,2023-12-06,Premier League
fulham,nott'm forest,5,0,2023-12-06,Premier League
sheffield united,liverpool,0,2,2023-12-06,Premier League
aston villa,man city,1,0,2023-12-06,Premier League
man united,chelsea,2,1,2023-12-06,Premier League
everton,newcastle,3,0,2023-12-07,Premier League
tottenham,west ham,1,2,2023-12-07,Premier League
crystal palace,liverpool,1,2,2023-12-09,Premier League
brighton,burnley,1,1,2023-12-09,Premier League
man united,bournemouth,0,3,2023-12-09,Premier League
sheffield united,brentford,1,0,2023-12-09,Premier League
wolves,nott'm forest,1,1,2023-12-09,Premier League
aston villa,arsenal,1,0,2023-12-09,Premier League
everton,chelsea,2,0,2023-12-10,Premier League
fulham,west ham,5,0,2023-12-10,Premier League
luton,man city,1,2,2023-12-10,Premier League
tottenham,newcastle,4,1,2023-12-10,Premier League
nott'm forest,tottenham,0,2,2023-12-15,Premier League
chelsea,sheffield united,2,0,2023-12-16,Premier League
man city,crystal palace,2,2,2023-12-16,Premier League
newcastle,fulham,3,0,2023-12-16,Premier League
burnley,everton,0,2,2023-12-16,Premier League
arsenal,brighton,2,0,2023-12-17,Premier League
brentford,aston villa,1,2,2023-12-17,Premier League
west ham,wolves,3,0,2023-12-17,Premier League
liverpool,man united,0,0,2023-12-17,Premier League
crystal palace,brighton,1,1,2023-12-21,Premier League
aston villa,sheffield united,1,1,2023-12-22,Premier League
west ham,man united,2,0,2023-12-23,Premier League
fulham,burnley,0,2,2023-12-23,Premier League
luton,newcastle,1,0,2023-12-23,Premier League
nott'm forest,bournemouth,2,3,2023-12-23,Premier League
tottenham,everton,2,1,2023-12-23,Premier League
